Title,Genre,Language,Year,Actors,Director
Charade,"Comedy, Mystery,  Romance",NAN,1963,"Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn",Stanley Donen
On the Outs,Drama,en,2004,Judy Marte Paola Mendoza Flaco Navaja Dominic Col\u00f3n Edward O'Blenis,Lori Silverbush
Black Water Transit,Drama Crime,en,2009,Laurence Fishburne Karl Urban Brittany Snow Aisha Tyler Beverly D'Angelo,Tony Kaye
"The Good, the Bad and the Ugly",Western,it,1966,Eli Wallach Clint Eastwood Lee Van Cleef Aldo Giuffr\u00e8 Luigi Pistilli,Sergio Leone
Crocodile Dundee in Los Angeles,Adventure Comedy,en,2001,Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Alec Wilson,Simon Wincer
Garden State,Comedy Drama Romance,en,2004,Zach Braff Natalie Portman Ian Holm Peter Sarsgaard Jean Smart,Zach Braff
Silence,"Adventure,Drama,History",NAN,2016,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",Martin Scorsese
Masked and Anonymous,Drama Music,en,2003,Bob Dylan Jeff Bridges Pen\u00e9lope Cruz John Goodman Jessica Lange,Larry Charles
Your Sister's Sister,Drama Comedy,en,2011,Mark Duplass Emily Blunt Rosemarie DeWitt Mike Birbiglia Kate Bayley,Lynn Shelton
The Book Thief,Drama,en,2013,Geoffrey Rush Sophie N\u00e9lisse Emily Watson Nico Liersch Ben Schnetzer,Brian Percival
Saw,Horror Mystery Crime,en,2004,Cary Elwes Danny Glover Monica Potter Michael Emerson Ken Leung,James Wan
Little Miss Sunshine,Comedy Drama,en,2006,Greg Kinnear Toni Collette Steve Carell Paul Dano Abigail Breslin,Jonathan Dayton
Factory Girl,Drama,en,2006,Sienna Miller Guy Pearce Hayden Christensen Mena Suvari Jimmy Fallon,George Hickenlooper
Paddington,Family Comedy,en,2014,Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton,Paul King
Me Before You,Drama Romance,en,2016,Emilia Clarke Sam Claflin Janet McTeer Charles Dance Brendan Coyle,Thea Sharrock
Sgt. Bilko,Comedy Family,en,1996,Steve Martin Dan Aykroyd Phil Hartman Glenne Headly Daryl Mitchell,Jonathan Lynn
Reminiscence,"Mystery, Romance,  Sci-Fi",NAN,2021,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton, Cliff Curtis",Lisa Joy
Soul Men,Comedy Music,en,2008,Samuel L. Jackson Bernie Mac Sharon Leal Adam Herschman Sean Hayes,Malcolm D. Lee
Deadline - U.S.A.,Crime Drama,en,1952,Humphrey Bogart Ethel Barrymore Kim Hunter Ed Begley Warren Stevens,Richard Brooks
It's All Gone Pete Tong,Drama Comedy Music,en,2004,Paul Kaye Kate Magowan Neil Maskell Beatriz Batarda Pete Tong,Michael Dowse
The Producers,Comedy Music,en,2005,Matthew Broderick Uma Thurman Will Ferrell Eileen Essell Gary Beach,Susan Stroman
The Lost Medallion: The Adventures of Billy Stone,Adventure Family,en,2013,William Brent Sammi Hanratty James Hong Alex Kendrick Mark Dacascos,Bill Muir
Zootopia,"Animation,Adventure,Comedy",NAN,2016,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",Byron Howard
The Bridges of Madison County,Drama Romance,en,1995,Meryl Streep Clint Eastwood Annie Corley Victor Slezak Jim Haynie,Clint Eastwood
Light Sleeper,Drama Crime,en,1992,Willem Dafoe Susan Sarandon Dana Delany David Clennon Mary Beth Hurt,Paul Schrader
The Little Vampire,Family Horror,en,2000,Richard E. Grant Jonathan Lipnicki Jim Carter Alice Krige Pamela Gidley,Uli Edel
5- 25- 77,"Comedy,Drama",NAN,2007,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",Patrick Read Johnson
Mickey Blue Eyes,Comedy Crime Romance,en,1999,Hugh Grant James Caan Jeanne Tripplehorn Burt Young James Fox,Kelly Makin
Bananas,Comedy,en,1971,Woody Allen Louise Lasser Carlos Montalb\u00e1n Nati Abascal Jacobo Morales,Woody Allen
Moneyball,"Biography,Drama,Sport",NAN,2011,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",Bennett Miller
Deuce Bigalow: European Gigolo,Comedy,en,2005,Rob Schneider Eddie Griffin Jeroen Krabb\u00e9 Til Schweiger Hanna Verboom,Mike Bigelow
Autumn in New York,Drama Romance,en,2000,Richard Gere Winona Ryder Anthony LaPaglia Elaine Stritch Vera Farmiga,Joan Chen
Domino,Action Crime,en,2005,Keira Knightley Mickey Rourke Edgar Ram\u00edrez Delroy Lindo Mo'Nique,Tony Scott
Bathing Beauty,Comedy Music,en,1944,Red Skelton Esther Williams Basil Rathbone Bill Goodwin Jean Porter,George Sidney
Burn After Reading,Comedy Drama,en,2008,George Clooney Frances McDormand Brad Pitt John Malkovich Tilda Swinton,Joel Coen
Freeheld,Romance Drama,en,2015,Julianne Moore Ellen Page Steve Carell Michael Shannon Luke Grimes,Peter Sollett
Pink Flamingos,Horror Comedy Crime,en,1972,Divine David Lochary Mary Vivian Pearce Mink Stole Danny Mills,John Waters
The Andromeda Strain,Science Fiction Thriller,en,1971,Arthur Hill David Wayne James Olson Kate Reid Paula Kelly,Robert Wise
Planet Terror,"Action,Comedy,Horror",NAN,2007,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton",Robert Rodriguez
The Tempest,Drama Fantasy,en,2010,Helen Mirren Felicity Jones Reeve Carney David Strathairn Tom Conti,Julie Taymor
An Inconvenient Truth,Documentary,en,2006,Al Gore Billy West Ronald Reagan George W. Bush George H. W. Bush,Davis Guggenheim
Clean,Drama,en,2004,Maggie Cheung Nick Nolte B\u00e9atrice Dalle Jeanne Balibar Don McKellar,Olivier Assayas
Duel in the Sun,Western,en,1946,Jennifer Jones Joseph Cotten Gregory Peck Lionel Barrymore Herbert Marshall,King Vidor
The Words,Drama Thriller,en,2012,Bradley Cooper Zoe Saldana Jeremy Irons Dennis Quaid Olivia Wilde,Brian Klugman
Morvern Callar,Drama,en,2002,Samantha Morton Kathleen McDermott James Wilson Dolly Wells Paul Popplewell,Lynne Ramsay
Rang De Basanti,Drama,hi,2006,Aamir Khan Soha Ali Khan Alice Patten Sharman Joshi Kunal Kapoor,Rakeysh Omprakash Mehra
There Be Dragons,Drama,en,2011,Charlie Cox Dougray Scott Wes Bentley Rodrigo Santoro Jordi Moll\u00e0,Roland Joff\u00e9
Don't Say a Word,Thriller,en,2001,Michael Douglas Sean Bean Brittany Murphy Skye McCole Bartusiak Guy Torry,Gary Fleder
A Very Harold & Kumar Christmas,Comedy,en,2011,Neil Patrick Harris John Cho Elias Koteas Danneel Ackles Kal Penn,Todd Strauss-Schulson
The Return of the Pink Panther,Comedy,en,1975,Peter Sellers Christopher Plummer Herbert Lom Catherine Schell Peter Arne,Blake Edwards
Monster,Crime Drama,en,2003,Charlize Theron Christina Ricci Bruce Dern Lee Tergesen Annie Corley,Patty Jenkins
Oculus,Horror,en,2013,Karen Gillan Brenton Thwaites Katee Sackhoff James Lafferty Rory Cochrane,Mike Flanagan
Graduation Day,Horror,en,1981,Christopher George Billy Hufsey Patch Mackenzie E. Danny Murphy E. J. Peaker,Herb Freed
Heaven is for Real,Drama,en,2014,Greg Kinnear Kelly Reilly Connor Corum Thomas Haden Church Jon Ted Wynne,Randall Wallace
Mean Creek,Crime Drama,en,2004,Rory Culkin Scott Mechlowicz Trevor Morgan Josh Peck Ryan Kelley,Jacob Aaron Estes
Brokeback Mountain,Drama Romance,en,2005,Heath Ledger Jake Gyllenhaal Randy Quaid Michelle Williams Anne Hathaway,Ang Lee
Tim and Eric's Billion Dollar Movie,Comedy,en,2012,Eric Wareheim Tim Heidecker John C. Reilly Zach Galifianakis Will Ferrell,Tim Heidecker
Life of Pi,Adventure Drama Action,en,2012,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,Ang Lee
The Gold Rush,"Adventure, Comedy,  Drama",NAN,1925,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",Charles Chaplin
2 Fast 2 Furious,Action Crime Thriller,en,2003,Paul Walker Tyrese Gibson Eva Mendes Cole Hauser Ludacris,John Singleton
Snatch,Thriller Crime,en,2000,Jason Statham Brad Pitt Vinnie Jones Dennis Farina Benicio del Toro,Guy Ritchie
Maudie,"Biography,Drama,Romance",NAN,2016,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett",Aisling Walsh
Circumstance,Drama,fa,2011,Nikohl Boosheri Sarah Kazemy Reza Sixo Safai Soheil Parsa Nasrin Pakkho,Maryam Keshavarz
The Dressmaker,"Comedy, Drama,  Western",NAN,2015,"Kate Winslet, Judy Davis, Liam Hemsworth, Hugo Weaving",Jocelyn Moorhouse
My Cousin Vinny,Comedy Drama,en,1992,Joe Pesci Ralph Macchio Marisa Tomei Mitchell Whitfield Fred Gwynne,Jonathan Lynn
Beverly Hills Cop,Action Comedy Crime,en,1984,Eddie Murphy Judge Reinhold John Ashton Ronny Cox Paul Reiser,Martin Brest
Vera Drake,Crime Drama,en,2004,Imelda Staunton Sally Hawkins Richard Graham Eddie Marsan Anna Keaveney,Mike Leigh
Beyond the Mat,Documentary,en,1999,Mick Foley Terry Funk Vince McMahon Dwayne Johnson Jake Roberts,Barry W. Blaustein
About Schmidt,Drama Comedy,en,2002,Jack Nicholson Kathy Bates Hope Davis Dermot Mulroney June Squibb,Alexander Payne
Fury,War Drama Action,en,2014,Brad Pitt Shia LaBeouf Logan Lerman Michael Pe\u00f1a Jon Bernthal,David Ayer
Last Orders,Comedy Drama,en,2001,Michael Caine Tom Courtenay David Hemmings Bob Hoskins Helen Mirren,Fred Schepisi
54,Music Drama,en,1998,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,Mark Christopher
Cloud Atlas,Drama Science Fiction,en,2012,Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess,Tom Tykwer
The Call of Cthulhu,Horror Thriller Fantasy,en,2005,Matt Foyer John Bolen Ralph Lucas Chad Fifer Susan Zucker,Andrew Leman
Phat Girlz,Comedy Romance,en,2006,Mo'Nique Jimmy Jean-Louis Godfrey Joyful Drake Brendan Walsh,Nnegest Likk\u00e9
Crawlspace,"Horror,Thriller",NAN,2016,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins",Phil Claydon
Money Monster,Thriller,en,2016,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,Jodie Foster
Joyful Noise,Comedy Music,en,2012,Queen Latifah Dolly Parton Keke Palmer Jeremy Jordan Courtney B. Vance,Todd Graff
The Three Stooges,Comedy,en,2012,Sean Hayes Will Sasso Chris Diamantopoulos Jane Lynch Sof\u00eda Vergara,Bobby Farrelly
Rescue Dawn,"Adventure, Biography,  War",NAN,2006,"Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier",Werner Herzog
Willy Wonka & the Chocolate Factory,Family Fantasy,en,1971,Gene Wilder Jack Albertson Peter Ostrum Roy Kinnear Denise Nickerson,Mel Stuart
Days of Heaven,Drama Romance,en,1978,Richard Gere Brooke Adams Linda Manz Sam Shepard Robert J. Wilke,Terrence Malick
Interview with the Assassin,Drama Thriller,en,2002,Dylan Haggerty Renee Faia Dennis Lau Raymond J. Barry Kelsey Kemper,Neil Burger
The Remains of the Day,Drama Romance,en,1993,Anthony Hopkins Emma Thompson James Fox Christopher Reeve Hugh Grant,James Ivory
The Prince & Me,Comedy Romance,en,2004,Julia Stiles Luke Mably Ben Miller Miranda Richardson James Fox,Martha Coolidge
Fracture,"Crime,Drama,Mystery",NAN,2007,"Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike",Gregory Hoblit
Running with Scissors,Drama Comedy,en,2006,Annette Bening Brian Cox Joseph Cross Joseph Fiennes Evan Rachel Wood,Ryan Murphy
Extraordinary Measures,Drama,en,2010,Harrison Ford Brendan Fraser Keri Russell Courtney B. Vance Meredith Droeger,Tom Vaughan
La tortue rouge,"Animation,Fantasy",NAN,2016,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers",Michael Dudok de Wit
Blue Crush,Adventure,en,2002,Kate Bosworth Matthew Davis Michelle Rodriguez Sanoe Lake Mika Boorem,John Stockwell
Zipper,Thriller Drama,en,2015,Patrick Wilson Lena Headey Richard Dreyfuss Ray Winstone John Cho,Mora Stephens
Quinceañera,Drama,it,2006,Emily Rios Jesse Garcia Chalo Gonz\u00e1lez David W. Ross Ramiro Iniguez,Richard Glatzer
End of the Spear,Adventure Drama,en,2005,Louie Leonardo Chad Allen Jack Guzman Chase Ellison Sylvia Jefferies,Jim Hanon
Rodeo Girl,Family,en,2016,Kevin Sorbo Sophie Bolen Derek Brandon Carrie Bradstreet Tiffany Burns,Joel Paul Reisig
Fighting Tommy Riley,Action Adventure Drama,en,2005,J.P. Davis Eddie Jones Christina Chambers Diane Tayler,Eddie O'Flaherty
Office Space,Comedy Crime,en,1999,Ron Livingston Jennifer Aniston David Herman Ajay Naidu Diedrich Bader,Mike Judge
Toy Story,Animation Comedy Family,en,1995,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,John Lasseter
The Best Man Holiday,Comedy,en,2013,Terrence Howard Harold Perrineau Morris Chestnut Sanaa Lathan Taye Diggs,Malcolm D. Lee
A Guy Named Joe,Drama Romance War,en,1944,Spencer Tracy Irene Dunne Van Johnson Ward Bond James Gleason,Victor Fleming
Twelve Monkeys,"Mystery, Sci-Fi,  Thriller",NAN,1995,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito",Terry Gilliam
Waterworld,Adventure Action,en,1995,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
10 Years,"Comedy,Drama,Romance",NAN,2011,"Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan Tatum",Jamie Linden
No Strings Attached,Comedy Romance,en,2011,Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta Gerwig,Ivan Reitman
The Light Between oceans,"Drama,Romance",NAN,2016,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",Derek Cianfrance
Bobby Jones: Stroke of Genius,Drama,en,2004,Jim Caviezel Claire Forlani Jeremy Northam Malcolm McDowell Aidan Quinn,Rowdy Herrington
Sister Act,"Comedy, Family,  Music",NAN,1992,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena",Emile Ardolino
The Neighbor,"Crime,Horror,Thriller",NAN,2016,"Josh Stewart, Bill Engvall, Alex Essoe, Ronnie Gene Blevins",Marcus Dunstan
The Third Man,"Film-Noir, Mystery,  Thriller",NAN,1949,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard",Carol Reed
Partition,Drama Foreign Romance,en,2007,Kristin Kreuk Jimi Mistry Neve Campbell John Light Irrfan Khan,Vic Sarin
Waking Ned,Comedy Romance,en,1998,Ian Bannen David Kelly Fionnula Flanagan Susan Lynch Brendan Dempsey,Kirk Jones
There Goes My Baby,Drama Comedy,en,1994,Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins,Floyd Mutrux
The Karate Kid Part II,"Action, Family,  Sport",NAN,1986,"Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth",John G. Avildsen
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Comedy,en,2013,Kathryn Fiore Flip Schultz Olivia Alexander Arturo del Puerto Danny Woodburn,Craig Moss
The Loss of Sexual Innocence,Drama,en,1999,Julian Sands Saffron Burrows Justin Chadwick Stefano Dionisi Kelly Macdonald,Mike Figgis
Spider-Man,Fantasy Action,en,2002,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
Beer League,Comedy,en,2006,Artie Lange Ralph Macchio Anthony DeSando Jimmy Palumbo Joe Lo Truglio,Frank Sebastiano
All About the Benjamins,Action Adventure Comedy,en,2002,Ice Cube Mike Epps Tommy Flanagan Carmen Chaplin Eva Mendes,Kevin Bray
The Royal Tenenbaums,Comedy Drama,en,2001,Gene Hackman Anjelica Huston Ben Stiller Gwyneth Paltrow Luke Wilson,Wes Anderson
Close Range,Crime Action,en,2015,Scott Adkins Nick Chinlund Caitlin Keats Jake La Botz Tony Perez,Isaac Florentine
The Italian Job,Action Crime,en,2003,Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham,F. Gary Gray
The Big Wedding,Comedy,en,2013,Robert De Niro Diane Keaton Katherine Heigl Amanda Seyfried Topher Grace,Justin Zackham
Pat Garrett & Billy the Kid,Western,en,1973,James Coburn Kris Kristofferson Richard Jaeckel Katy Jurado Chill Wills,Sam Peckinpah
The Town,Crime Drama Thriller,en,2010,Ben Affleck Rebecca Hall Jeremy Renner Jon Hamm Blake Lively,Ben Affleck
Seed of Chucky,Drama Horror Comedy,en,2004,Brad Dourif Jennifer Tilly Billy Boyd Redman Hannah Spearritt,Don Mancini
Dawn of the Dead,Fantasy Horror Action,en,2004,Sarah Polley Ving Rhames Jake Weber Mekhi Phifer Ty Burrell,Zack Snyder
Winter's Bone,Drama,en,2010,Jennifer Lawrence John Hawkes Kevin Breznahan Dale Dickey Garret Dillahunt,Debra Granik
Time to Choose,Documentary,en,2015,Oscar Isaac Jane Goodall Jerry Brown Neal Barnard Michael Pollan,Charles Ferguson
At First Sight,Drama Romance,en,1999,Val Kilmer Mira Sorvino Kelly McGillis Steven Weber Bruce Davison,Irwin Winkler
The Rocker,Comedy Music,en,2008,Rainn Wilson Josh Gad Christina Applegate Emma Stone Teddy Geiger,Peter Cattaneo
Showgirls,Drama,en,1995,Elizabeth Berkley Kyle MacLachlan Gina Gershon Glenn Plummer Robert Davi,Paul Verhoeven
Jesus Christ Superstar,"Drama, History,  Musical",NAN,1973,"Ted Neeley, Carl Anderson, Yvonne Elliman, Barry Dennen",Norman Jewison
Knocked Up,Comedy Romance Drama,en,2007,Seth Rogen Katherine Heigl Leslie Mann Paul Rudd Jason Segel,Judd Apatow
13 Hours,"Action,Drama,History",NAN,2016,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman",Michael Bay
Sling Blade,Drama,en,1996,Billy Bob Thornton Dwight Yoakam J. T. Walsh John Ritter Lucas Black,Billy Bob Thornton
Because I Said So,Comedy,en,2007,Diane Keaton Mandy Moore Gabriel Macht Tom Everett Scott Lauren Graham,Michael Lehmann
Against the Ropes,Romance Drama,en,2004,Meg Ryan Tony Shalhoub Joe Cortese Kerry Washington Omar Epps,Charles S. Dutton
Stranded,Drama,en,2015,Scott Eastwood Rita Wilson Jeff Fahey David James Elliott Kim Matula,"Daniel Petrie, Jr."
The Men Who Stare at Goats,Comedy War,en,2009,George Clooney Ewan McGregor Jeff Bridges Kevin Spacey Robert Patrick,Grant Heslov
The Lobster,"Comedy,Drama,Romance",NAN,2015,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman",Yorgos Lanthimos
The Whole Truth,"Crime,Drama,Mystery",NAN,2016,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso",Courtney Hunt
Underworld: Blood Wars,"Action,Adventure,Fantasy",NAN,2016,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",Anna Foerster
Sleep Dealer,Drama Science Fiction Thriller,en,2008,Leonor Varela Jacob Vargas Luis Fernando Pe\u00f1a,Alex Rivera
8: The Mormon Proposition,Documentary,en,2010,Rocky Mayor Anderson Matt Aune Tyler Barrick Bruce Barton Melissa Bird,Reed Cowan
Tanner Hall,Drama,en,2009,Rooney Mara Georgia King Brie Larson Amy Ferguson Antonia Steinberg,Francesca Gregorini
The Hollars,"Comedy,Drama,Romance",NAN,2016,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",John Krasinski
Joe,Drama,en,2014,Nicolas Cage Tye Sheridan Ronnie Gene Blevins Sue Rock Heather Kafka,David Gordon Green
Flight,Drama,en,2012,Denzel Washington Don Cheadle Bruce Greenwood Kelly Reilly John Goodman,Robert Zemeckis
The Help,Drama,en,2011,Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica Chastain,Tate Taylor
Lost in Translation,Drama,en,2003,Bill Murray Scarlett Johansson Anna Faris Giovanni Ribisi Akiko Takeshita,Sofia Coppola
Leaving Las Vegas,Drama Romance,en,1995,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Steven Weber,Mike Figgis
Reindeer Games,Thriller,en,2000,Ben Affleck Gary Sinise Charlize Theron Dennis Farina Donal Logue,John Frankenheimer
Punisher: War Zone,Action Crime,en,2008,Ray Stevenson Dominic West Julie Benz Colin Salmon Doug Hutchison,Lexi Alexander
Hustle & Flow,Drama,en,2005,Terrence Howard Anthony Anderson Taryn Manning Taraji P. Henson Elise Neal,Craig Brewer
Good Luck Chuck,Comedy Drama Romance,en,2007,Dane Cook Jessica Alba Dan Fogler Ellia English Lonny Ross,Mark Helfrich
Blazing Saddles,Western Comedy,en,1974,Cleavon Little Gene Wilder Harvey Korman Slim Pickens Madeline Kahn,Mel Brooks
Wanderlust,Comedy,en,2012,Paul Rudd Jennifer Aniston Justin Theroux Malin \u00c5kerman Lauren Ambrose,David Wain
The Cooler,Drama Romance,en,2003,William H. Macy Alec Baldwin Maria Bello Shawn Hatosy Paul Sorvino,Wayne Kramer
Rugrats Go Wild,Animation Family,en,2003,E.G. Daily Nancy Cartwright Kath Soucie Dionne Quan Tim Curry,Norton Virgien
Love & Friendship,"Comedy,Drama,Romance",NAN,2016,"Kate Beckinsale, Chloë Sevigny, Xavier Samuel,Emma Greenwell",Whit Stillman
This Is England,Drama Crime,en,2006,Thomas Turgoose Stephen Graham Jo Hartley Andrew Shim Vicky McClure,Shane Meadows
The Ruins,Drama Horror,en,2008,Shawn Ashmore Jonathan Tucker Jena Malone Laura Ramsey Joe Anderson,Carter Smith
Shut In,"Drama,Horror,Thriller",NAN,2016,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt",Farren Blackburn
Bang,Drama,en,1995,Darling Narita Peter Greene Michael Newland Erik Schrody Michael Artura,Ash Baron-Cohen
Police Academy,Comedy Crime,en,1984,Steve Guttenberg Kim Cattrall G. W. Bailey Bubba Smith Donovan Scott,Hugh Wilson
The Conjuring 2,"Horror,Mystery,Thriller",NAN,2016,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",James Wan
Fast Times at Ridgemont High,Comedy,en,1982,Sean Penn Jennifer Jason Leigh Judge Reinhold Phoebe Cates Brian Backer,Amy Heckerling
Eden,Thriller Drama,en,2015,Jessica Lowndes Ethan Peck Diego Boneta Nate Parker Mario Casas,Shyam Madiraju
Warrior,Action Drama,en,2011,Tom Hardy Jennifer Morrison Nick Nolte Joel Edgerton Frank Grillo,Gavin O'Connor
Fly Me to the Moon,Comedy Romance,fr,2012,Diane Kruger Dany Boon Alice Pol Robert Plagnol Jonathan Cohen,Pascal Chaumeil
Frances Ha,Comedy Drama,en,2013,Greta Gerwig Mickey Sumner Adam Driver Michael Zegen Michael Esper,Noah Baumbach
Allied,"Action,Drama,Romance",NAN,2016,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",Robert Zemeckis
Donnie Brasco,Crime Drama Thriller,en,1997,Johnny Depp Al Pacino Michael Madsen Bruno Kirby James Russo,Mike Newell
Sympathy for Lady Vengeance,Drama Thriller,ko,2005,Choi Min-sik Lee Young-ae Kwon Yea-young Go Soo-hee Kim Bu-seon,Park Chan-wook
Mean Machine,Comedy Drama,en,2001,Vinnie Jones David Kelly David Hemmings Ralph Brown Vas Blackwood,Barry Skolnick
Flipper,Adventure Family,en,1996,Elijah Wood Paul Hogan Jonathan Banks Jason Fuchs Robert Deacon,Alan Shapiro
DodgeBall: A True Underdog Story,Comedy,en,2004,Vince Vaughn Christine Taylor Ben Stiller Rip Torn Justin Long,Rawson Marshall Thurber
Bachelorette,Comedy Romance,en,2012,Kirsten Dunst Isla Fisher Lizzy Caplan Rebel Wilson Adam Scott,Leslye Headland
The Butler,Drama,en,2013,Forest Whitaker David Banner Michael Rainey Jr. LaJessie Smith Mariah Carey,Lee Daniels
Message in a Bottle,Romance Drama,en,1999,Kevin Costner Robin Wright Paul Newman John Savage Illeana Douglas,Luis Mandoki
Dil Jo Bhi Kahey...,Romance,hi,2006,Amitabh Bachchan Revathi Karan Sharma Annabelle Wallis Malcolm Stoddard,Romesh Sharma
All Is Bright,Comedy Drama,en,2013,Paul Rudd Paul Giamatti Sally Hawkins Peter Hermann Michael Drayer,Phil Morrison
20 Feet from Stardom,Documentary Music,en,2013,Bette Midler Mick Jagger Sting Sheryl Crow Bruce Springsteen,Morgan Neville
Beerfest,Comedy,en,2006,Erik Stolhanske Jay Chandrasekhar Steve Lemme Paul Soter M.C. Gainey,Jay Chandrasekhar
Brigham City,Crime Drama Mystery Thriller,en,2001,Richard Dutcher Matthew A. Brown Wilford Brimley,Richard Dutcher
Marley & Me,Comedy Family,en,2008,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
My Blueberry Nights,Drama Romance,en,2007,Norah Jones Jude Law Natalie Portman David Strathairn Rachel Weisz,Wong Kar-wai
Meet the Fockers,Comedy Romance,en,2004,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
Unbroken,Drama War,en,2014,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
Fifty Dead Men Walking,Action Thriller,en,2008,Ben Kingsley Jim Sturgess Kevin Zegers Rose McGowan Tom Collins,Kari Skogland
"Run, Fatboy, Run",Comedy Romance,en,2007,Simon Pegg Thandie Newton Hank Azaria Dylan Moran Harish Patel,David Schwimmer
The Legend of Hercules,Action Adventure,en,2014,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin
The Texas Chainsaw Massacre: The Beginning,Horror,en,2006,Jordana Brewster Taylor Handley Diora Baird Matt Bomer R. Lee Ermey,Jonathan Liebesman
Sinister 2,Horror,en,2015,Shannyn Sossamon James Ransone Robert Daniel Sloan Dartanian Sloan Lea Coco,Ciaran Foy
Mechanic: Resurrection,"Action,Adventure,Crime",NAN,2016,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh",Dennis Gansel
Beat the World,Music Drama,en,2011,Tyrone Brown Mishael Morgan Nikki Grant Chase Armitage Ray Johnson,Robert Adetuyi
American Heist,Action,en,2014,Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette,Sarik Andreasyan
The Dilemma,Comedy Drama,en,2011,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard
Blue Jasmine,Comedy Drama,en,2013,Cate Blanchett Alec Baldwin Sally Hawkins Bobby Cannavale Louis C.K.,Woody Allen
The Ridiculous 6,Comedy Western,en,2015,Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo,Frank Coraci
Pet,"Horror,Thriller",NAN,2016,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald",Carles Torrens
Imagine Me & You,Drama Comedy Romance,en,2005,Piper Perabo Lena Headey Matthew Goode Celia Imrie Darren Boyd,Ol Parker
The Black Dahlia,Drama,en,2006,Josh Hartnett Scarlett Johansson Aaron Eckhart Hilary Swank Mia Kirshner,Brian De Palma
Hamlet,Drama,en,1996,Kenneth Branagh Derek Jacobi Julie Christie Richard Briers Kate Winslet,Kenneth Branagh
Escape from Alcatraz,Crime Drama,en,1979,Clint Eastwood Patrick McGoohan Roberts Blossom Jack Thibeau Fred Ward,Don Siegel
Undiscovered,Comedy Romance,en,2005,Kip Pardue Carrie Fisher Shannyn Sossamon Pell James Steven Strait,Meiert Avis
